ID,Animal,Date,Channel,Cluster,Path,Region,ImgPath,OtherImgPath,Lift,Press,Holding,Trigger,Release
68,Davis,4/26/2022 8:20,1,4,D:\Ephys\ANMs\Davis\Sessions\20220426\RTarrayAll.mat,M1,Images/Davis/20220426/Ch1_Unit4.png,,,,,,
69,Davis,4/26/2022 8:20,1,5,D:\Ephys\ANMs\Davis\Sessions\20220426\RTarrayAll.mat,M1,Images/Davis/20220426/Ch1_Unit5.png,Images/Davis/20220426/Lift_cell_unit_5/position_heatmap.png;Images/Davis/20220426/Lift_cell_unit_5/position_heatmap_yt.png;Images/Davis/20220426/Lift_cell_unit_5/traj_all.png;Images/Davis/20220426/Lift_cell_unit_5/traj_all_yt.png,1,,,1,
70,Davis,5/5/2022 10:37,3,2,D:\Ephys\ANMs\Davis\Sessions\20220505\RTarrayAll.mat,M1,Images/Davis/20220505/Ch3_Unit2.png,,1,,,,
71,Davis,5/5/2022 10:37,4,1,D:\Ephys\ANMs\Davis\Sessions\20220505\RTarrayAll.mat,M1,Images/Davis/20220505/Ch4_Unit1.png,,,,,1,
72,Davis,5/5/2022 10:37,4,2,D:\Ephys\ANMs\Davis\Sessions\20220505\RTarrayAll.mat,M1,Images/Davis/20220505/Ch4_Unit2.png,,,,,,
73,Davis,5/12/2022 12:46,1,1,D:\Ephys\ANMs\Davis\Sessions\20220512\RTarrayAll.mat,M1,Images/Davis/20220512/Ch1_Unit1.png,Images/Davis/20220512/Lift_cell_unit_1/position_heatmap.png;Images/Davis/20220512/Lift_cell_unit_1/position_heatmap_yt.png;Images/Davis/20220512/Lift_cell_unit_1/traj_all.png;Images/Davis/20220512/Lift_cell_unit_1/traj_all_yt.png,1,,,,
74,Davis,5/18/2022 11:21,1,1,D:\Ephys\ANMs\Davis\Sessions\20220518\RTarrayAll.mat,M1,Images/Davis/20220518/Ch1_Unit1.png,,,,,,
75,Davis,5/18/2022 11:21,1,2,D:\Ephys\ANMs\Davis\Sessions\20220518\RTarrayAll.mat,M1,Images/Davis/20220518/Ch1_Unit2.png,,,,,,
76,Davis,5/18/2022 11:21,4,1,D:\Ephys\ANMs\Davis\Sessions\20220518\RTarrayAll.mat,M1,Images/Davis/20220518/Ch4_Unit1.png,,,,,,
77,Davis,5/25/2022 12:57,1,1,D:\Ephys\ANMs\Davis\Sessions\20220525\RTarrayAll.mat,M1,Images/Davis/20220525/Ch1_Unit1.png,,1,,,,
78,Davis,5/25/2022 12:57,1,2,D:\Ephys\ANMs\Davis\Sessions\20220525\RTarrayAll.mat,M1,Images/Davis/20220525/Ch1_Unit2.png,,,,,,
79,Davis,5/25/2022 12:57,2,1,D:\Ephys\ANMs\Davis\Sessions\20220525\RTarrayAll.mat,M1,Images/Davis/20220525/Ch2_Unit1.png,,,,,,
80,Chen,4/2/2022 12:49,1,1,D:\Ephys\ANMs\Chen\Sessions\20220402\RTarrayAll.mat,M1,Images/Chen/20220402/Ch1_Unit1.png,,,,,,
81,Chen,4/2/2022 12:49,1,2,D:\Ephys\ANMs\Chen\Sessions\20220402\RTarrayAll.mat,M1,Images/Chen/20220402/Ch1_Unit2.png,,,,,,
82,Chen,4/2/2022 12:49,4,1,D:\Ephys\ANMs\Chen\Sessions\20220402\RTarrayAll.mat,M1,Images/Chen/20220402/Ch4_Unit1.png,,1,,,,
83,Chen,4/26/2022 7:07,1,1,D:\Ephys\ANMs\Chen\Sessions\20220426\RTarrayAll.mat,M1,Images/Chen/20220426/Ch1_Unit1.png,,1,,,,
84,Chen,5/7/2022 11:45,1,1,D:\Ephys\ANMs\Chen\Sessions\20220507\RTarrayAll.mat,M1,Images/Chen/20220507/Ch1_Unit1.png,Images/Chen/20220507/Lift_cell_unit_1/position_heatmap.png;Images/Chen/20220507/Lift_cell_unit_1/position_heatmap_yt.png;Images/Chen/20220507/Lift_cell_unit_1/traj_all.png;Images/Chen/20220507/Lift_cell_unit_1/traj_all_yt.png,1,,,1,
